VvsRHE	current density																		
	mA/cm2		Formate	Allyl Alcohol	Ethylene Glycol	n-propanol	Glycolaldehyde	Methanol	Acetone	Hydroxy Acetone	Acetate	Acetaldehyde	Ethanol	Propionaldehyde	Hydrogen	Methane	CO	Ethylene	SUM
-1.17	-16.61		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-9.26	-6.70	-0.05	-1.43	-17.44
-1.14	-12.25													0.00	-3.98	-3.66	-0.05	-1.88	-9.57
-1.09	-9.25													0.00	-2.05	-2.74	-0.06	-1.94	-6.79
-1.05	-5.90													0.00	-1.33	-1.44	-0.06	-1.53	-4.37
-1.01	-3.58													0.00	-0.91	-0.62	-0.14	-0.64	-2.32
-0.95	-1.92													0.00	-0.58	-0.06	-0.13	-0.20	-0.96
-0.89	-1.24													0.00	-0.47	-0.01	-0.11	-0.04	-0.63
-0.82	-0.85													0.00	-0.37	0.00	-0.06	-0.02	-0.45
-0.75	-0.55													0.00	-0.34	0.00	-0.06	0.00	-0.41
-0.67	-0.42													0.00	-0.32	0.00	-0.08	0.00	-0.40
																			
																			
